Restaurant Name,Address,City,Province,Postal Code,Latitude,Longitude
,4501 17 Ave SE Unit 310,Calgary,AB,T2A 0T7,51.0376011,-113.969071
,1820 Strachan Rd SE Unit 102,Medicine Hat,AB,T1B 4R7,49.9996367,-110.6495037
,"2 Douglas Rd Unit A30, Uxbridge, ON L9P 1S9",Uxbridge,ON,L9P 1S9,44.0918827,-79.1318995
,"5777 Main St #103, ON L4A 2S9",Stouffville,ON,L4A 2S9,43.9670888,-79.2643871
,9750 Markham Rd,Markham,ON,L6E 0H8,43.9032275,-79.2674244
,"1604 Mont-Royal Ave E,",Montreal,QC,H2J 1Z2,45.5320527,-73.5752415
,"351 Argyle St S unit 4, Caledonia",Caledonia,ON,N3W 1K7,43.0624783,-79.9620158
,5261 Hwy 7 B102,Markham,ON,L3P 1B8,43.8669516,-79.2837969
,1780 Markham Road Unit 0110,Scarborough,ON,M1B 2W2,43.795045,-79.2409299
,248 Northern Ave,Sault Ste Marie,ON,P6B 4H6,46.535214,-84.3222879
,1 William Kitchen Rd,Scarborough,ON,M1P 5B7,43.770712,-79.2782577
,800 Yonge St,Midland,ON,L4R 2E7,44.7418432,-79.8957016
,1270 Fischer Hallman Road,Kitchener,ON,N2R 1P6,43.4003629,-80.4956931
,800 Emerald,Sherwood Park,AB,T8H 0P1,53.5675975,-113.2855851
,17 Hanes,Huntsville,ON,P1H 1L8,45.3391169,-79.2206389
,922 Erb St W,Waterloo,ON,N2J 3Z4,43.4439361,-80.5796425
,9737 Macleod Trail-Calgary,Calgary,AB,T2J 0P6,50.967141,-114.072532
,241 Trade Valley,Vaughan,ON,L4H 3N6,43.7921282,-79.662013
,1573 Regent,Winnipeg,MB,N3W 1K7,49.8982265,-97.0657531
,385 Garrison Rd,Fort Erie,ON,L2A 1N1,42.905031,-78.9294608
,17477 Highway 2,Trenton,ON,K8V 0N7,44.0932469,-77.6011393
,1044 Goderich,Port Elgin,ON,N0H 2C3,44.4476674,-81.3804922
,"24- Iber Rd, Unit D-3",Ottawa,ON,K2S 1T1,45.28135,-75.91128
,1070 Rest Acres,Paris,ON,N3L 0B5,43.1774871,-80.3839527
,911 Fort William Rd,Thunder Bay,ON,P7B 3A6,48.4042517,-89.2396491
,515 Grand Ave,Chatam,ON,N7L 1C5,42.4003364,-82.2078181
,1025 Elgin,Cobourg,ON,K9A 5W4,43.9705398,-78.1964322
,201 Chainlake Dr,Halifax,ON,B3C 1C8,44.6488228,-63.6770553
,"6061 Young St, Unit 1C",Halifax,ON,,44.658966,-63.6048693
,7100 Langelier Boulevard,Montreal,QC,H1S 2X6,45.589184,-73.5686297
Oshawa King St,1323 King St E,Oshawa,ON,L1H 1J3,43.906051,-78.8145232
,863 Red River,Thunder Bay,ON,P7B 1K3,48.4461791,-89.2493855
,"750 Richmond St, Unit 2",London,ON,N6A 3H3,42.9953889,-81.2527222
Masonville Mall,"1680 Richmond St,Unit L049",London,ON,N6G 3Y9,43.025599,-81.2783801
,"343 Glendale Ave St,  Unit 105",St. Catherines,ON,L2T 0A1,43.1376689,-79.2163887
,655 Fairway Rd,Kitchener,ON,N2C 1X4,43.4189244,-80.4501331
25 Brisdale - Brampton,"25 Brisdale Rd, Unit 3,Brampton",Brampton,ON,L7A 2G8,43.68429,-79.81294
Riverbend Square,468 Riverbend - Edmonton,Edmonton,AB,"
T6R 2X2 ",53.4684447,-113.5833328
Manning Drive,3630 - 153 Avenue NW. Edmonton,Edmonton,AB,T5Y 0S4,53.6148437,-113.3988818
Canterra,10196-109 Street,Edmonton,AB,T5J 1M9,53.541637,-113.508915
Walker Rd,4140 Walker Rd,Windsor,ON,N8W 3T5,42.2592941,-82.9659057
Penticton,702 Main Street,Penticton,BC,V2A 5E2,49.4928716,-119.5890192
431 Kent St,431 Kent St. W. Unit 3,Lindsay,ON,K9V 6L6,44.3488055,-78.7631524
1180 Smyth St,1180 Smythe St,Fredericton,NB,E3B 3H5,45.9430388,-66.6687867
Chelmsford,4764 Regional Rd. 15,Chelmsford,ON,P0M 1L0,46.5694103,-81.185363
Stratford,1067 Ontario St.,Stratford,ON,N5A 6W6,43.3703143,-80.9457198
Red Deer,"499 Timberlands Dr., #7101",Red Deer,AB,T4P 0Z3,52.28341,-113.76577
Westerminster,408 E. Columbia St.,Westminster,BC,V3L 3X1,49.2284676,-122.8926214
Cambrian Heights,965 Cambrian Heights Unit #105,Sudbury,ON,P3C 5M6,46.5152642,-80.9863151
Eversquare Edmonton,"Unit 104, 4632 Gateway Boulevard NW",Edmonton,AB,T6H 6A1,53.4848029,-113.4929105
Discovery Way,"Unit #2 , 5209 discovery way.",Leduc,AB,T9E 8N4,53.2657025,-113.5695902
U of Alberta,8506 112 St. NW,Edmonton,AB,T6G 2L7,53.5210277,-113.5208819
Kingston Rd - Toronto,"3025 Kingston Rd, Unit A01012A",Scarborough,ON,M1M 1P1,43.7258184,-79.2304587
Saint Johns - Consumers,"Unit D0002B , 70 Consumers Dr",Saint John,NB,E2J 4Z3,45.3061829,-66.0198915
Tillsonburg,"Unit #9, 671 Broadway St",Tillsonburg,ON,N4G 3T1,42.881367,-80.750071
Arnprior,"245 Daniel Street South, Building 2 Unit 3",Arnprior,ON,K7S 3K5,45.4259284,-76.3651986
,,Miami,FL,,25.7616798,-80.1917902
